g.2252.peg.1785,g.2252.peg.233
g.2252.peg.1039,553204.6.peg.505
g.2252.peg.376,553204.6.peg.505
g.2252.peg.2056,g.2252.peg.547
553204.6.peg.542,g.2252.peg.1613
553204.6.peg.542,g.2252.peg.729
553204.6.peg.542,553204.6.peg.1805
553204.6.peg.542,g.2252.peg.36
g.2252.peg.627,553204.6.peg.1835
g.2252.peg.627,553204.6.peg.789
g.2252.peg.627,g.2252.peg.1438
553204.6.peg.1778,553204.6.peg.1779
g.2252.peg.374,g.2252.peg.1584
g.2252.peg.374,g.2252.peg.1605
553204.6.peg.202,553204.6.peg.1379
553204.6.peg.202,g.2252.peg.796
g.2252.peg.812,g.2252.peg.422
g.2252.peg.812,g.2252.peg.324
g.2252.peg.422,g.2252.peg.324
553204.6.peg.1379,g.2252.peg.796
553204.6.peg.1379,553204.6.peg.196
g.2252.peg.796,553204.6.peg.196
g.2252.peg.197,553204.6.peg.848
g.2252.peg.197,553204.6.peg.851
g.2252.peg.365,g.2252.peg.737
g.2252.peg.1006,g.2252.peg.1805
g.2252.peg.1464,g.2252.peg.223
g.2252.peg.1239,g.2252.peg.951
g.2252.peg.1815,g.2252.peg.951
g.2252.peg.1899,g.2252.peg.951
g.2252.peg.1992,g.2252.peg.951
g.2252.peg.951,g.2252.peg.1996
553204.6.peg.1745,553204.6.peg.616
g.2252.peg.281,g.2252.peg.470
g.2252.peg.1990,g.2252.peg.2052
