C_RS16290,C_RS05135
C_RS05135,C_RS22640
C_RS05135,C_RS02620
C_RS18760,C_RS15520
C_RS00440,C_RS21665
C_RS00440,C_RS21670
C_RS00435,C_RS21665
C_RS00435,C_RS21670
purT,C_RS14335
C_RS00690,C_RS08175
C_RS06380,C_RS23735
C_RS02730,C_RS14445
C_RS02730,C_RS07775
C_RS02730,phnN
C_RS00510,C_RS02255
C_RS07665,C_RS23815
C_RS14580,C_RS16590
C_RS14580,C_RS25860
C_RS18115,C_RS23735
C_RS03515,C_RS22020
C_RS23125,C_RS00015
C_RS09345,C_RS00880
C_RS14105,C_RS22745
C_RS17765,C_RS09500
C_RS14010,C_RS14040
C_RS04945,C_RS00955
C_RS17565,C_RS17590
C_RS17565,glcF
C_RS17565,glcE
C_RS09420,C_RS00270
C_RS10795,C_RS00545
C_RS16645,C_RS10330
C_RS10220,C_RS18840
C_RS10220,C_RS18835
C_RS12130,C_RS19685
C_RS20325,C_RS04850
C_RS01765,C_RS14380
C_RS16355,C_RS14380
C_RS16365,C_RS14380
C_RS16360,C_RS14380
C_RS14500,C_RS09815
C_RS14500,C_RS09810
C_RS14500,C_RS09805
C_RS14500,C_RS09800
C_RS14500,C_RS09820
C_RS14500,C_RS09825
C_RS14495,C_RS09815
C_RS14495,C_RS09810
C_RS14495,C_RS09805
C_RS14495,C_RS09800
C_RS14495,C_RS09820
C_RS14495,C_RS09825
C_RS22450,C_RS23570
C_RS03985,C_RS14045
C_RS03985,C_RS14055
C_RS03985,C_RS14050
C_RS14045,C_RS03980
C_RS14045,C_RS03990
C_RS14055,C_RS03980
C_RS14055,C_RS03990
C_RS03980,C_RS14050
C_RS03990,C_RS14050
C_RS17665,C_RS21940
C_RS17665,C_RS21925
C_RS17665,C_RS21935
C_RS17665,C_RS21930
C_RS07775,phnN
C_RS09865,C_RS19180
C_RS02290,C_RS19705
C_RS18390,C_RS22150
