SDY_0861,SDY_2328
SDY_3053,SDY_0927
SDY_0927,SDY_3899
SDY_0927,SDY_0389
SDY_2905,SDY_3378
SDY_0108,SDY_4154
SDY_0108,SDY_4155
SDY_4154,SDY_0107
SDY_4155,SDY_0107
SDY_1135,SDY_2689
SDY_2060,SDY_4533
SDY_0445,SDY_2714
SDY_0445,SDY_1256
SDY_0445,SDY_4122
SDY_0146,SDY_0666
SDY_0146,SDY_0667
SDY_0665,SDY_0666
SDY_0665,SDY_0667
SDY_0664,SDY_0666
SDY_0664,SDY_0667
SDY_0365,SDY_0122
SDY_2741,SDY_3169
SDY_2741,SDY_4649
SDY_3242,SDY_4533
SDY_0608,SDY_4004
SDY_3775,SDY_0002
ybcF,SDY_0055
ybcF,SDY_0054
SDY_1564,SDY_0171
SDY_2634,SDY_3876
SDY_3065,SDY_1845
SDY_2617,SDY_2611
SDY_2348,SDY_2943
SDY_2348,SDY_0187
SDY_1547,SDY_0071
SDY_3155,SDY_1488
SDY_2996,SDY_1794
puuA,SDY_3873
SDY_1514,SDY_3393
SDY_1514,SDY_3394
SDY_2212,SDY_3693
SDY_3562,SDY_2373
SDY_0165,SDY_3682
SDY_3914,SDY_4322
SDY_2620,SDY_0712
SDY_2620,SDY_0710
SDY_2620,SDY_0711
SDY_2619,SDY_0712
SDY_2619,SDY_0710
SDY_2619,SDY_0711
SDY_0712,SDY_2618
SDY_0710,SDY_2618
SDY_2618,SDY_0711
SDY_1354,SDY_0843
SDY_3086,SDY_4024
SDY_3086,SDY_4025
SDY_3086,SDY_4023
SDY_3086,SDY_4022
SDY_1256,SDY_4122
SDY_1475,SDY_3458
SDY_3693,SDY_3168
SDY_3168,SDY_0008
SDY_0355,SDY_3689
SDY_3309,SDY_3976
