'999410.3.peg.5811','999410.3.peg.679','999410.3.peg.994'
'999410.3.peg.2291','g.32465.CDS.1166','g.32465.CDS.1926'
'g.32465.CDS.655','g.32465.CDS.1009','g.32465.CDS.5684'
'g.32465.CDS.3267','g.32465.CDS.3543','g.32465.CDS.904'
'999410.3.peg.3529','g.32465.CDS.1228','g.32465.CDS.2895'
'g.32465.CDS.4058','g.32465.CDS.535','g.32465.CDS.58'
'g.32465.CDS.1853','g.32465.CDS.3068','g.32465.CDS.4248'
'g.32465.CDS.1174','g.32465.CDS.636','g.32465.CDS.5668'
'g.32465.CDS.2572','999410.3.peg.2747','g.32465.CDS.4226'
'g.32465.CDS.2572','999410.3.peg.2747','g.32465.CDS.5433'
'999410.3.peg.1094','999410.3.peg.4851','g.32465.CDS.1228'
'g.32465.CDS.1228','999410.3.peg.4401','g.32465.CDS.2895'
'g.32465.CDS.1228','999410.3.peg.5028','g.32465.CDS.2895'
'g.32465.CDS.1228','999410.3.peg.3367','g.32465.CDS.2895'
'g.32465.CDS.1228','999410.3.peg.3528','g.32465.CDS.2895'
'g.32465.CDS.1228','g.32465.CDS.3506','g.32465.CDS.2895'
'g.32465.CDS.1228','g.32465.CDS.3607','g.32465.CDS.2895'
'999410.3.peg.994','999410.3.peg.5814','999410.3.peg.5815'
'999410.3.peg.994','g.32465.CDS.5574','g.32465.CDS.5685'
'g.32465.CDS.2856','g.32465.CDS.4423','g.32465.CDS.5738'
'g.32465.CDS.1118','g.32465.CDS.4792','g.32465.CDS.5266'
'g.32465.CDS.1416','g.32465.CDS.3605','g.32465.CDS.908'
'g.32465.CDS.1212','g.32465.CDS.1428','g.32465.CDS.362'
'g.32465.CDS.2358','g.32465.CDS.4646','g.32465.CDS.5051'
'g.32465.CDS.2423','g.32465.CDS.4013','g.32465.CDS.4976'
'g.32465.CDS.2561','g.32465.CDS.4879','g.32465.CDS.5098'
'g.32465.CDS.2540','g.32465.CDS.3470','g.32465.CDS.3790'
